"","Benchmark","Group","num_stores","num_stores_marked","dyn","dyn_silent","dyn_marked","dyn_marked_silent","Name","r"
"1","SciMark2-C","SciMark2-C",67,8,21794063853,3403842614,8413063762,0,"SciMark2-C",0.119402985074627
"2","Ptrdist/anagram","Ptrdist",40,4,339525631,42524857,7735462,6590828,"anagram",0.1
"3","Ptrdist/ks","Ptrdist",79,2,275928,65965,65286,0,"ks",0.0253164556962025
"4","VersaBench/bmm","VersaBench",8,1,1077936131,1032327134,1073741824,1030768838,"bmm",0.125
"5","VersaBench/beamformer","VersaBench",67,2,178673442,12436892,8212480,0,"beamformer",0.0298507462686567
"6","CoyoteBench/lpbench","CoyoteBench",21,4,2690721929,2000,2674666000,0,"lpbench",0.19047619047619
"7","NPB-serial/is","NPB-serial",35,1,1757436183,136628613,23068661,11,"is",0.0285714285714286
"8","ASC_Sequoia/CrystalMk","ASC_Sequoia",35,9,2016000636,721999820,754000000,2000000,"CrystalMk",0.257142857142857
"9","DOE_ProxyApps_C/XSBench","DOE_ProxyApps_C",75,1,180815729,8842,77422430,0,"XSBench",0.0133333333333333
"10","Olden/power","Olden",91,13,254920559,1868599,125101079,49896,"power",0.142857142857143
"11","Linpack","Linpack",76,4,4128604912,130472182,3784673300,455793,"Linpack",0.0526315789473684
"12","Stanford/Oscar","Stanford",27,1,1357080,5256,51200,0,"Oscar",0.037037037037037
"13","Fhourstones","Fhourstones",54,4,154959172,11341258,22014274,0,"Fhourstones",0.0740740740740741
"14","Fhourstones_31","Fhourstones_31",43,3,2831123666,475739612,357892819,0,"Fhourstones_31",0.0697674418604651
"15","Misc/salsa20","Misc",38,32,12405768562,537919504,10758390080,0,"salsa20",0.842105263157895
"16","Misc/ReedSolomon","Misc",87,6,1709094340,73842799,508783346,31592,"ReedSolomon",0.0689655172413793
"17","Misc/dt","Misc",4,1,268439552,131072,268435456,131072,"dt",0.25
"18","Misc/ffbench","Misc",12,2,295214850,291327246,132120576,131137776,"ffbench",0.166666666666667
"19","FreeBench/neural","FreeBench",38,2,510094241,384789120,489860000,365015680,"neural",0.0526315789473684
"20","FreeBench/distray","FreeBench",91,27,2598865393,347842647,1441414536,241179052,"distray",0.296703296703297
"21","FreeBench/analyzer","FreeBench",94,2,1476740,229698,10002,2,"analyzer",0.0212765957446809
"22","BenchmarkGame/n-body","BenchmarkGame",13,9,375000003,0,375000000,0,"n-body",0.692307692307692
