Benchmark,Group,num_stores,num_stores_marked,dyn,dyn_silent,dyn_marked,dyn_marked_silent
SciMark2-C,SciMark2-C,67,8,21794063853,3403842614,8413063762,0
Ptrdist/anagram,Ptrdist,40,4,339525631,42524857,7735462,6590828
Ptrdist/bc,Ptrdist,531,0,68706764,15885416,0,0
Ptrdist/yacr2,Ptrdist,169,1,75431380,58196609,414980,13620
Ptrdist/ks,Ptrdist,79,2,275928,65965,65286,0
Ptrdist/ft,Ptrdist,79,0,18420582,1461761,0,0
VersaBench/dbms,VersaBench,235,7,60565863,19731458,306966,306961
VersaBench/8b10b,VersaBench,8,0,1200000000,470637231,0,0
VersaBench/bmm,VersaBench,8,1,1077936131,1032327134,1073741824,1030768838
VersaBench/ecbdes,VersaBench,29,0,476001088,339999819,0,0
VersaBench/beamformer,VersaBench,67,2,178673442,12436892,8212480,0
CoyoteBench/lpbench,CoyoteBench,21,4,2690721929,2000,2674666000,0
CoyoteBench/almabench,CoyoteBench,14,0,56160560,20,0,0
CoyoteBench/huffbench,CoyoteBench,28,0,817999463,300748766,0,0
NPB-serial/is,NPB-serial,35,1,1757436183,136628613,23068661,11
NPB-serial/dc,NPB-serial,409,26,252546522,110917270,24977952,3028
cpu2006/401.bzip2/rbc,cpu2006,1211,17,34371833189,4785266034,1312057981,99628214
cpu2006/464.h264ref/rbc,cpu2006,6389,47,28394636722,7269873459,131168333,9993003
cpu2006/445.gobmk/rbc,cpu2006,4067,43,15617034708,3399968967,596258782,184755756
cpu2006/444.namd/rbc,cpu2006,2753,412,93148606001,2826457830,61110332886,70179090
cpu2006/429.mcf/rbc,cpu2006,228,12,29423015520,11599295569,1093353797,44
cpu2006/470.lbm/rbc,cpu2006,122,0,74153871121,5755552746,0,0
cpu2006/400.perlbench/rbc,cpu2006,13534,68,26107238369,9850736016,27545664,4130714
cpu2006/456.hmmer/rbc,cpu2006,3012,8,175990114970,1038518733,55171491812,11157876
cpu2006/458.sjeng/rbc,cpu2006,1609,2,126236326196,33794641378,2499337013,30202025
cpu2006/433.milc/rbc,cpu2006,835,49,95406699733,1859857729,3501472000,196025338
cpu2006/403.gcc/rbc,cpu2006,20336,146,7121328811,5896293331,40948890,13492394
ASC_Sequoia/IRSmk,ASC_Sequoia,69,0,78783553,78132024,0,0
ASC_Sequoia/CrystalMk,ASC_Sequoia,35,9,2016000636,721999820,754000000,2000000
ASC_Sequoia/AMGmk,ASC_Sequoia,143,2,1258255118,692882445,251720000,0
DOE_ProxyApps_C/XSBench,DOE_ProxyApps_C,75,1,180815729,8842,77422430,0
DOE_ProxyApps_C/SimpleMOC,DOE_ProxyApps_C,231,4,991604157,7197805,63934730,2940178
DOE_ProxyApps_C/Pathfinder,DOE_ProxyApps_C,204,1,292689160,35774430,97565851,31953564
